Step,Queue1,Queue2
0,1,1
1,1,0
2,2,0
3,2,1
4,3,2
5,3,3
6,4,4
7,3,3
8,3,3
9,4,4
10,5,4
11,4,3
12,3,2
13,4,1
14,4,1
15,4,2
16,4,0
17,4,1
18,4,1
19,4,1
20,3,1
21,2,0
22,2,0
23,2,0
24,2,0
25,2,1
26,2,1
27,2,1
28,1,0
29,2,1
30,2,0
31,1,0
32,2,1
33,2,2
34,2,3
35,2,3
36,3,4
37,2,4
38,2,4
39,3,3
40,4,4
41,3,4
42,3,4
43,3,3
44,4,4
45,4,5
46,4,5
47,5,5
48,5,4
49,5,5
50,4,5
51,4,5
52,3,3
53,4,3
54,5,4
55,5,4
56,5,4
57,6,4
58,6,2
59,6,3
60,6,3
61,6,2
62,6,3
63,6,3
64,7,3
65,7,3
66,7,3
67,7,3
68,8,3
69,9,2
70,9,3
71,8,2
72,9,3
73,10,4
74,9,4
75,10,5
76,11,5
77,10,3
78,10,3
79,10,4
80,9,2
81,9,2
82,9,3
83,10,4
84,10,4
85,10,3
86,10,3
87,9,3
88,9,3
89,9,4
90,8,3
91,7,3
92,8,3
93,7,2
94,7,1
95,6,1
96,5,1
97,4,0
98,3,0
99,2,0
100,3,0
101,3,0
102,2,0
103,3,1
104,3,1
105,3,1
106,3,1
107,4,1
108,5,2
109,5,1
110,6,2
111,6,1
112,7,1
113,7,1
114,6,1
115,6,0
116,6,0
117,6,0
118,6,1
119,6,1
120,6,1
121,7,2
122,6,2
123,6,2
124,7,1
125,7,1
126,8,1
127,9,1
128,9,1
129,9,1
130,9,1
131,9,2
132,8,1
133,9,2
134,10,2
135,10,3
136,10,3
137,10,4
138,9,3
139,10,4
140,9,2
141,9,2
142,10,3
143,11,2
144,11,3
145,11,3
146,12,3
147,12,3
148,11,3
149,11,3
150,10,3
151,10,3
152,11,3
153,11,3
154,10,3
155,10,2
156,11,3
157,10,3
158,10,3
159,11,3
160,11,4
161,10,4
162,10,3
163,10,2
164,10,2
165,10,2
166,9,1
167,10,2
168,9,2
169,10,1
170,10,1
171,10,1
172,11,1
173,11,1
174,11,1
175,11,2
176,12,1
177,12,1
178,13,0
179,13,0
180,14,1
181,15,1
182,16,2
183,16,3
184,15,2
185,16,3
186,17,2
187,17,3
188,16,2
189,17,3
190,17,4
191,18,4
192,17,4
193,17,3
194,17,3
195,16,3
196,16,3
197,15,3
198,15,4
199,15,3
200,14,3
201,15,4
202,14,3
203,15,2
204,15,3
205,15,3
206,15,4
207,15,5
208,16,5
209,16,3
210,16,2
211,16,1
212,17,1
213,16,1
214,15,0
215,15,0
216,15,1
217,15,1
218,14,1
219,14,1
220,14,2
221,14,2
222,14,3
223,15,4
224,15,4
225,16,4
226,15,3
227,14,2
228,15,2
229,15,3
230,14,1
231,13,1
232,12,1
233,12,1
234,12,2
235,12,1
236,12,2
237,12,2
238,11,2
239,11,2
240,11,3
241,11,3
242,12,4
243,12,3
244,12,4
245,13,4
246,13,4
247,12,3
248,12,4
249,13,4
250,13,5
251,13,4
252,12,3
253,13,4
254,13,4
255,14,5
256,13,4
257,14,4
258,14,1
259,13,0
260,13,0
261,14,1
262,15,2
263,15,1
264,15,1
265,14,0
266,14,1
267,14,0
268,14,0
269,14,0
270,14,1
271,14,1
272,14,1
273,15,2
274,15,2
275,16,2
276,15,2
277,15,3
278,15,2
279,14,1
280,15,2
281,16,1
282,15,0
283,16,0
284,16,0
285,17,1
286,17,1
287,17,1
288,17,1
289,17,1
290,16,0
291,16,1
292,16,2
293,15,2
294,16,3
295,16,2
296,17,2
297,16,1
298,16,2
299,15,2
300,14,2
301,13,1
302,13,1
303,12,1
304,11,1
