Step,Queue1,Queue2
0,0,1
1,0,1
2,1,2
3,0,1
4,0,1
5,0,1
6,1,2
7,2,3
8,2,3
9,2,2
10,2,0
11,3,1
12,3,1
13,2,1
14,3,2
15,3,2
16,4,3
17,3,3
18,3,4
19,3,4
20,3,3
21,3,3
22,3,3
23,2,1
24,3,1
25,3,1
26,3,1
27,3,2
28,3,2
29,2,2
30,2,2
31,1,1
32,2,1
33,2,1
34,2,2
35,3,2
36,3,2
37,2,1
38,1,1
39,1,2
40,0,2
41,1,2
42,1,3
43,1,3
44,1,4
45,1,4
46,1,5
47,1,6
48,1,7
49,1,7
50,1,6
51,2,6
52,2,7
53,3,7
54,4,7
55,4,7
56,4,7
57,3,7
58,4,7
59,4,7
60,5,6
61,4,5
62,4,5
63,5,5
64,6,5
65,5,4
66,6,3
67,6,4
68,7,5
69,7,4
70,7,5
71,7,6
72,7,5
73,8,6
74,8,6
75,8,4
76,7,2
77,8,3
78,7,1
79,7,2
80,7,2
81,6,2
82,5,2
83,5,2
84,5,2
85,5,0
86,6,1
87,6,1
88,6,2
89,7,3
90,7,3
91,7,4
92,8,5
93,9,5
94,8,5
95,9,6
96,10,5
97,10,5
98,11,5
99,12,6
100,11,5
101,12,6
102,12,7
103,13,7
104,13,7
105,13,6
106,13,6
107,14,6
108,15,6
109,14,6
110,15,6
111,15,7
112,15,8
113,15,8
114,14,8
115,15,9
116,16,7
117,17,7
118,16,7
119,15,7
120,15,8
121,16,9
122,15,9
123,15,10
124,16,10
125,16,11
126,17,11
127,18,12
128,18,13
129,17,11
130,16,8
131,16,9
132,16,8
133,16,9
134,16,10
135,16,9
136,17,10
137,17,11
138,17,10
139,17,11
140,17,12
141,18,13
142,18,11
143,19,11
144,20,12
145,20,13
146,20,14
147,21,14
148,21,14
149,21,14
150,20,13
151,20,12
152,20,12
153,20,12
154,20,11
155,21,10
156,21,11
157,21,12
158,22,13
159,22,13
160,22,14
161,22,15
162,22,14
163,23,13
164,22,13
165,22,13
166,22,13
167,22,13
168,22,12
169,22,11
170,21,11
171,20,10
172,21,11
173,21,11
174,21,10
175,21,11
176,21,10
177,22,10
178,23,11
179,24,11
180,24,10
181,23,8
182,23,7
183,22,6
184,21,6
185,21,7
186,21,8
187,22,8
188,21,8
189,20,8
190,20,7
191,20,6
192,19,5
193,19,5
194,18,5
195,18,6
196,18,7
197,19,8
198,20,9
199,20,8
200,20,8
201,19,7
202,18,6
203,19,7
204,19,6
205,20,7
206,20,8
207,19,7
208,19,6
209,19,7
210,20,7
211,21,7
212,21,8
213,21,9
214,21,9
215,21,9
216,21,10
217,20,10
218,21,10
219,21,11
220,21,12
221,21,12
222,22,11
223,22,11
224,21,10
225,21,8
226,20,8
227,20,7
228,20,7
229,21,8
230,21,9
231,21,10
232,22,11
233,23,11
234,22,10
235,22,9
236,22,10
237,22,8
238,22,9
239,22,9
240,21,7
241,20,6
242,20,5
243,21,5
244,22,6
245,22,5
246,22,5
247,22,5
248,22,6
249,22,5
250,23,5
251,24,3
252,23,3
253,23,4
254,23,4
255,23,4
256,22,3
257,21,2
258,21,3
259,22,4
260,22,4
261,22,2
262,23,2
263,24,1
264,25,1
265,25,2
266,25,1
267,26,2
268,26,1
269,27,2
270,27,1
271,26,1
272,25,0
273,25,1
274,24,0
275,23,0
276,23,0
277,23,1
278,23,1
279,22,1
280,22,1
281,21,1
282,22,1
283,22,1
284,22,2
285,21,1
286,20,1
287,20,1
288,20,1
289,21,0
290,21,1
291,20,1
292,20,1
293,20,1
294,20,2
295,19,2
296,19,2
297,19,1
298,19,2
299,19,2
300,20,1
301,20,1
302,20,0
303,20,0
304,20,1
305,20,1
306,19,1
307,19,1
308,19,1
309,19,2
310,19,2
311,19,2
312,18,1
313,17,1
314,17,2
315,18,3
316,18,3
317,18,2
318,19,2
319,19,2
320,18,2
321,18,2
322,18,2
323,19,1
324,19,2
325,19,1
326,19,2
327,20,3
328,20,2
329,20,1
330,19,1
331,19,1
332,20,1
333,21,0
334,20,0
335,20,1
336,20,1
337,19,1
338,18,0
339,17,0
340,16,0
341,17,0
342,16,0
343,17,0
344,17,1
345,17,1
346,17,1
347,18,2
348,19,3
349,19,4
350,19,3
351,20,3
352,19,1
353,19,1
354,20,2
355,20,2
356,20,1
357,20,2
358,20,3
359,19,2
360,20,3
361,20,3
362,20,3
363,21,4
364,21,4
365,21,4
366,20,4
367,20,4
368,20,4
369,20,2
370,19,2
371,19,2
372,20,2
373,19,1
374,19,2
375,19,3
376,18,2
377,17,2
378,18,3
379,17,3
380,17,1
381,17,2
382,17,2
383,17,2
384,16,1
385,16,1
386,16,1
387,16,1
388,17,1
389,18,1
390,18,2
391,18,2
392,19,3
393,19,3
394,19,2
395,18,2
396,19,1
397,18,1
398,18,2
399,18,1
400,19,1
401,18,1
402,18,2
403,19,3
404,20,4
405,20,5
406,19,3
407,20,3
408,20,4
409,19,3
410,19,3
411,19,4
412,19,4
413,19,5
414,19,3
415,18,3
416,19,4
